date,description,amount,type
3/4/2025,"Purchase authorized on 3/4 DELTA AIR LINES NORTH JAYLONWORTH ME S206901940686549 Card 3608",277.71,debit
3/5/2025,"Purchase authorized on 3/5 NIKE SIMONISBORO LA S626020591819297 Card 4866",163.29,debit
3/7/2025,"Purchase authorized on 3/7 VERIZON MYRTICECHESTER MI S008932357138203 Card 3023",88.35,debit
3/10/2025,"Purchase authorized on 3/10 COSTCO WEST CICEROVIEW ID S449400719954033 Card 9729",114.36,debit
3/11/2025,"Purchase authorized on 3/11 COSTCO BROWNSVILLE UT S236038557663831 Card 1598",106.98,debit
3/13/2025,"Purchase authorized on 3/13 SHELL KREIGERTOWN WI S813390924483258 Card 8604",53.01,debit
3/16/2025,"Purchase authorized on 3/16 AMC THEATRES NORTH ERVINFIELD OR S301205084505793 Card 6648",36.62,debit
3/17/2025,"Purchase authorized on 3/17 STARBUCKS RIVERTON TX S738176727144666 Card 2239",13.43,debit
3/17/2025,"Purchase authorized on 3/17 UBER UTICA NV S962239597886191 Card 5952",30.54,debit
3/20/2025,"Purchase authorized on 3/20 MCDONALDS YORK TN S934466081998860 Card 7683",14.95,debit
3/22/2025,"Venmo Payment 518677 Colin Doyle",119.75,debit
3/23/2025,"Venmo Payment 509080 Allan Casper",94.54,debit
3/24/2025,"Purchase authorized on 3/24 BEST BUY LAKE CRISTINABURY NC S438284202817779 Card 7374",300.39,debit
3/25/2025,"Purchase authorized on 3/25 AMC THEATRES NEW WESTON TX S752098618039427 Card 4711",32.78,debit
3/26/2025,"Purchase authorized on 3/26 SPOTIFY WHITTIER NM S703525649674817 Card 9819",10.19,debit
3/26/2025,"Purchase authorized on 3/26 MCDONALDS PORT LAMONT NY S504654359400274 Card 9154",10.23,debit
3/27/2025,"Venmo Payment 531681 Tracey Conroy",105.95,debit
3/29/2025,"Purchase authorized on 3/29 COSTCO CHESLEYWORTH UT S753578181593229 Card 8458",243.76,debit
4/2/2025,"Purchase authorized on 4/2 DELTA AIR LINES ARMSTRONGBERG KS S945476787126734 Card 4990",200.75,debit
4/5/2025,"Purchase authorized on 4/5 COSTCO EAST LANSING LA S977706228095123 Card 8687",144.73,debit
4/6/2025,"Purchase authorized on 4/6 DUNKIN FORT MYERS MI S363328728603274 Card 0359",7.04,debit
4/7/2025,"Purchase authorized on 4/7 TRADER JOE'S RICECHESTER OK S557981383425341 Card 0197",67.48,debit
4/7/2025,"Purchase authorized on 4/7 AMAZON GILESBORO NC S074651796265898 Card 2414",58.03,debit
4/8/2025,"Purchase authorized on 4/8 MARRIOTT FORT PIERCE VA S161817227360371 Card 3345",194.13,debit
4/8/2025,"Purchase authorized on 4/8 WALMART EUGENIAFORT AR S654209380526917 Card 2205",44.82,debit
4/8/2025,"Purchase authorized on 4/8 WHOLE FOODS WEST ROELSHIRE NM S185790175970618 Card 7455",60.42,debit
4/13/2025,"Purchase authorized on 4/13 STARBUCKS CASTLE ROCK AL S217456409623732 Card 0143",6.86,debit
4/15/2025,"Purchase authorized on 4/15 WALMART WINTHEISERVIEW MS S020251176860539 Card 5044",91.61,debit
4/16/2025,"Purchase authorized on 4/16 AMC THEATRES BOYERCHESTER AK S930133942370900 Card 3182",18.55,debit
4/16/2025,"Purchase authorized on 4/16 CHEVRON NEW TRACETOWN VA S053267873252875 Card 6052",36.8,debit
4/17/2025,"Purchase authorized on 4/17 MCDONALDS WEST LORENZA MO S185123683284826 Card 3338",15.08,debit
4/23/2025,"Purchase authorized on 4/23 CHEVRON ASHALAND IN S459056645859396 Card 6692",61.72,debit
4/25/2025,"Purchase authorized on 4/25 LYFT NORTH CHADDBORO AZ S780134705953253 Card 6580",38.27,debit
4/25/2025,"Purchase authorized on 4/25 NETFLIX WEST THERESIAFURT ND S547417228710178 Card 6030",15.44,debit
4/28/2025,"Purchase authorized on 4/28 NIKE HERZOGBORO NV S552940756482707 Card 4581",166.21,debit
4/28/2025,"Purchase authorized on 4/28 COMCAST FINNBERG TX S224753548186471 Card 1029",109.22,debit
5/2/2025,"Purchase authorized on 5/2 WHOLE FOODS NORTH WAVA ID S113401288008877 Card 8924",61.29,debit
5/3/2025,"Purchase authorized on 5/3 VERIZON BERNICEFIELD NJ S314944091257071 Card 5108",78.26,debit
5/4/2025,"Purchase authorized on 5/4 WALGREENS PORT CRISTAL ID S224524755279946 Card 1056",29.9,debit
5/5/2025,"Purchase authorized on 5/5 CVS AUBREYCESTER OR S226727039499021 Card 8323",45.88,debit
5/6/2025,"Purchase authorized on 5/6 DELTA AIR LINES PORT PHOEBETON NM S013745169935468 Card 4672",407.36,debit
5/6/2025,"Purchase authorized on 5/6 AMAZON NATALIEBURY WV S339301815852695 Card 8691",110.75,debit
5/6/2025,"Purchase authorized on 5/6 AMAZON PROHASKASIDE LA S294251191639212 Card 4476",63.54,debit
5/7/2025,"Purchase authorized on 5/7 CHIPOTLE NORTH MOISES NE S682740567027828 Card 3384",12.14,debit
5/7/2025,"Purchase authorized on 5/7 LYFT NAPERVILLE AK S443752794749676 Card 1191",21.79,debit
5/8/2025,"Purchase authorized on 5/8 STAPLES DALLAS NM S951753928542869 Card 3792",109.13,debit
5/9/2025,"Purchase authorized on 5/9 SHELL EAST MAUREEN WA S960750789510422 Card 6926",56.22,debit
5/10/2025,"Purchase authorized on 5/10 DOMINOS MARIETTA ND S586233814212048 Card 3546",28.29,debit
5/13/2025,"Purchase authorized on 5/13 TARGET NORTH ELLENBURGH VT S687182495136140 Card 5415",106.73,debit
5/13/2025,"Purchase authorized on 5/13 WALGREENS MADALYNBOROUGH GA S743803178688357 Card 2656",10.72,debit
5/14/2025,"Purchase authorized on 5/14 TARGET STEHRSIDE AZ S667443668948492 Card 8854",84.7,debit
5/15/2025,"Purchase authorized on 5/15 SHELL NORTH ELSIEBOROUGH UT S408144909216446 Card 7127",53.54,debit
5/17/2025,"Purchase authorized on 5/17 WHOLE FOODS EVERETT AR S337993770525914 Card 2054",99.33,debit
5/23/2025,"Venmo Payment 874822 Ralph Schroeder",56.85,debit
5/25/2025,"Purchase authorized on 5/25 NIKE HILLLSHIRE CA S489970294390413 Card 2468",102.94,debit
5/26/2025,"Purchase authorized on 5/26 LYFT SOUTH JOAQUIN MI S362406356400488 Card 9364",25.86,debit
5/28/2025,"Purchase authorized on 5/28 MARRIOTT WESTLAND VT S815578376510179 Card 6577",206.68,debit
6/1/2025,"Purchase authorized on 6/1 NIKE PORT VANMOUTH OH S199889835466010 Card 2106",162.05,debit
6/3/2025,"Purchase authorized on 6/3 VERIZON JUDYBERG CO S906415557854321 Card 6572",85.5,debit
6/3/2025,"Purchase authorized on 6/3 DELTA AIR LINES JUDGEFURT IL S604309794579281 Card 0139",314.11,debit
6/5/2025,"Purchase authorized on 6/5 NETFLIX HERMISTONHAVEN MA S944174484639034 Card 7396",15.98,debit
6/8/2025,"Purchase authorized on 6/8 COSTCO BOEHMBOROUGH MD S183755824125050 Card 2941",140.75,debit
6/9/2025,"Purchase authorized on 6/9 UBER NEW AMARASIDE WI S275648858587343 Card 1081",34.93,debit
6/14/2025,"Purchase authorized on 6/14 OLIVE GARDEN ARCADIA MI S006838031828185 Card 9713",61.5,debit
6/14/2025,"Purchase authorized on 6/14 CVS ATHENABERG MO S334425361779894 Card 4414",57.11,debit
6/16/2025,"Purchase authorized on 6/16 WALGREENS GAINESVILLE AZ S192209874968857 Card 0459",29.98,debit
6/17/2025,"Purchase authorized on 6/17 STARBUCKS GLENSIDE NV S200470410272488 Card 6069",8.98,debit
6/18/2025,"Purchase authorized on 6/18 TRADER JOE'S LAWTON VT S071485859319630 Card 0666",73.09,debit
6/20/2025,"Purchase authorized on 6/20 OLIVE GARDEN JERODBURGH UT S156669407328274 Card 2789",71.19,debit
6/20/2025,"Purchase authorized on 6/20 NIKE NORTH RAMIRO CA S519005914783835 Card 1041",80.79,debit
6/21/2025,"Purchase authorized on 6/21 DELTA AIR LINES ATLANTA GA S506102421431020 Card 3056",461.84,debit
6/21/2025,"Purchase authorized on 6/21 UBER DURHAM AL S964782935946407 Card 9332",18.85,debit
6/22/2025,"Purchase authorized on 6/22 MARRIOTT EAST TIFFANYBORO GA S466230902607162 Card 0049",292.81,debit
6/25/2025,"Purchase authorized on 6/25 SPOTIFY DOLORESCHESTER WV S734439526320794 Card 7643",10.81,debit
6/25/2025,"Purchase authorized on 6/25 CHEVRON SOUTH AMBROSE MS S967729546854549 Card 1340",59.39,debit
