date,description,amount,category
2024-12-18,# ELLIOTT LLC 312 NJ WEST DONALDFORT MA  44L0,184.31,Clothing
2024-09-12,DEBIT DUFFY AND SONS 881 SD CARRIEMOUTH FM  97L2,10.07,Public Transport
2025-01-30,# DELACRUZ PLC 353 ID PORT NORMANLAND MN  10X8,79.52,Restaurants
2025-12-18,PAYMENT CARTER-GOODWIN 156 MS REBEKAHTON NE  80S0,378.79,Insurance
2025-08-25,INV MACIAS LLC 922 IL KELLERBURGH MS  08R7,108.78,Restaurants
2024-11-23,"DEBIT HORNE, OSBORN AND CLARK 503 DE NEW MICHAEL AK  05J7",154.97,Groceries
2025-05-28,"INV HUNTER, LEWIS AND WILLIAMS 681 CT LAURASTAD PA  59Y7",427.42,Clothing
2025-10-26,# WARD LTD 994 IA MATTHEWBURY AZ  27q9,3.48,Coffee Shops
2026-01-10,TXN WARREN INC 149 MA NORTH KATHRYN UT  12f6,116.11,Restaurants
2024-09-07,ONLINE PAYMENT DAVIS-RODGERS 481 DC ALEXISBOROUGH CO  38T9,54.27,Groceries
2024-07-07,"# YOUNG, BANKS AND CURTIS 219 ND MILLERBERG OH  58S2",11.8,Coffee Shops
2024-07-12,"REF MCKINNEY, SUAREZ AND DAVIS 753 FM CRUZVIEW MS  03X6",1663.16,Electronics
2025-10-27,# BOWERS INC 196 MN WEST DONNASHIRE CO  30D4,1227.61,Electronics
2025-11-07,REF LEE-CASEY 728 NC JACKPORT NJ  10L1,219.48,Utilities
2025-11-22,"TXN MARTINEZ, ODOM AND ARNOLD 756 ME GREGORYFORT LA  14u9",49.47,Other
2025-05-09,PURCHASE AUTHORIZED CROSS INC 419 CA EAST EARL LA  69q8,408.36,Other
2024-03-15,POS CHEVRON LAURIETOWN MD  93P2,70.12,Gas
2024-03-10,INV DIAZ-COOPER 737 WA JOSEPHLAND GA  65Q1,50.61,Other
2025-03-21,"ONLINE PAYMENT TORRES, OLSEN AND HOLMES 534 ND PORT ALLISON DE  21p4",1462.6,Electronics
2025-04-20,INV BROWN LLC 337 AL MICHAELBERG VI  60j9,247.93,Other
2024-03-31,POS JOHNSON-OSBORNE 356 NM MCFARLANDBOROUGH VA  45F1,79.06,Restaurants
2025-03-15,"REF EWING, BLANKENSHIP AND WEAVER 951 KS PORT JASON NV  75r8",60.8,Gas
2025-02-23,INV WILSON LTD 184 CO MERCERTON OK  80h7,46.92,Groceries
2024-09-17,POS ROBINSON-FARMER 515 OR LAKE ALEXISFURT IL  17n9,111.68,Restaurants
2025-09-14,ONLINE PAYMENT ROSS-CRUZ 332 MA MATTHEWCHESTER WY  26t4,35.46,Gas
2024-09-29,"PAYMENT BLACK, COLEMAN AND KANE 503 OR DIAZCHESTER UT  41l0",385.13,Other
2024-11-05,ONLINE PAYMENT REYES GROUP 144 VI RODRIGUEZFORT LA  18U0,76.97,Other
2025-02-18,"POS VAZQUEZ, NELSON AND OWEN 327 MH PORT TIMOTHY NC  32M1",329.64,Clothing
2024-02-29,REF GREEN-MARTINEZ 936 MA SOUTH TIFFANY MN  95J0,35.6,Groceries
2024-05-04,"ONLINE PAYMENT MERCADO, DAUGHERTY AND SMITH 449 CT LAKE BONNIE AL  42a3",25.59,Public Transport
2024-03-16,INV AMAZON MARKETPLACE NORTH JILLIANSTAD MH  71e4,102.49,Other
2025-02-15,"TXN MARTIN, BROWN AND HUDSON 388 PA SOUTH JILL MA  86s5",170.78,Other
2025-12-20,DEBIT CAMPBELL-CROSBY 816 WI NICOLEBERG WA  76p6,149.77,Groceries
2025-04-09,"INV LOWE, VILLA AND MARTIN 002 NM LAKE DANIELLE KS  08M3",433.04,Other
2025-07-26,"PAYMENT FRY, GALLOWAY AND GEORGE 072 NJ SOUTH SHARONVILLE AK  75A5",108.28,Groceries
2025-07-29,PAYMENT DAVIS GROUP 138 IL SOUTH CHRISTIAN NE  48k0,74.43,Groceries
2025-06-13,"INV MCDOWELL, BERGER AND COLLINS 650 FM EAST DESTINY PA  03P9",96.86,Groceries
2025-04-10,# CARNEY GROUP 249 UT HANCOCKSHIRE MS  87x7,1515.93,Electronics
2024-08-08,TXN WALKER-STEVENS 381 ND WEST STEPHENVIEW VA  08k2,12.1,Coffee Shops
2025-10-18,REF CARRILLO GROUP 587 MT SOUTH BRANDICHESTER WA  42b2,142.06,Restaurants
2024-12-05,"TXN BOND, HAYNES AND ARMSTRONG 120 AR TONYABERG MI  15p3",86.84,Groceries
2024-06-23,"INV ZHANG, MARTIN AND BROOKS 103 KY CESARTOWN MT  64o2",52.09,Other
2025-11-18,REF SANCHEZ-PETERSON 213 NY NEW PATRICK IN  28n6,24.59,Restaurants
2024-08-01,PAYMENT CLARK-CLARK 982 WA PORT FELICIABOROUGH CT  41v5,898.51,Electronics
2024-11-02,"REF VINCENT, CAIN AND SMITH 190 NH JAMESBERG RI  63c3",456.08,Clothing
2024-03-24,"# HUNTER, GARCIA AND JOHNSON 584 NJ SOUTH JOHN MI  04J4",341.96,Other
2024-12-11,DEBIT TUCKER LTD 880 MH SHAFFERSIDE PR  12e7,399.81,Insurance
2025-05-31,"DEBIT DEAN, NORRIS AND MURPHY 193 DE SHAWTON OH  43X8",61.43,Restaurants
2024-11-26,PURCHASE AUTHORIZED BROOKS INC 618 HI NATHANSTAD MO  12W6,6.98,Public Transport
2025-09-24,ONLINE PAYMENT UNITED AIRLINES PORT CHASE DC  88L7,450.59,Airfare
2025-04-25,TXN WONG AND SONS 631 DC RHODESMOUTH AR  25x3,122.69,Utilities
2025-11-27,"INV CUNNINGHAM, WARD AND PHILLIPS 425 MT ALANFURT SC  72a8",438.13,Other
2026-02-09,"PAYMENT WONG, GREENE AND NELSON 333 HI NEW RACHEL NJ  27a4",125.08,Restaurants
2025-12-20,ONLINE PAYMENT HURST-SHAW 037 KY EAST NATALIETOWN TN  03M0,269.42,Other
2024-08-16,PAYMENT VINCENT LTD 228 MS LAKE RICHARD HI  47l5,483.34,Hotels
2025-07-07,PURCHASE AUTHORIZED H&M LAKE TINA CA  76X9,392.08,Clothing
2024-09-11,# MYERS-RODRIGUEZ 583 NM DENISETON AS  20N6,38.31,Restaurants
2024-11-25,DEBIT LARSEN-AUSTIN 622 DC ROBERTLAND RI  04b9,311.17,Other
2024-03-07,"TXN SMITH, WALLACE AND SOLIS 701 MH WILSONBURGH KY  47i3",28.94,Public Transport
2025-04-26,"POS WELLS, ROBERTS AND CAMPBELL 401 NY ANGELAFORT GA  53g9",494.77,Other
2025-01-23,# TURNER LLC 455 IL EAST TREVOR DC  41j6,251.06,Other
2025-10-30,"PAYMENT MARTIN, CAREY AND BIRD 556 PA SOUTH JOSHUAVILLE DE  27A6",95.75,Restaurants
2025-04-20,ONLINE PAYMENT MAXWELL-ALVAREZ 417 SC NEW TONYASIDE NJ  06p3,314.71,Clothing
2025-07-31,"REF AUSTIN, MILLER AND COHEN 618 CT WEST ANDREWTON LA  35A9",435.13,Other
2024-05-17,DEBIT WEST LTD 212 LA CASSANDRAFORT MH  98T6,13.79,Coffee Shops
2024-12-25,"POS ATKINS, SCHNEIDER AND YOUNG 053 NV WEST ALEXANDRIA CA  13w6",409.55,Airfare
2025-02-05,INV WILLIAMS GROUP 025 LA KELSEYBURGH MD  95B3,42.35,Gas
2025-06-30,PURCHASE AUTHORIZED TAYLOR INC 082 IL NORTH MICHAELBOROUGH DC  55l8,40.51,Gas
2025-06-17,DEBIT MERCER INC 389 IA EAST DANIEL GU  01m2,1187.45,Electronics
2024-12-23,POS RODRIGUEZ-BOONE 448 KY BENJAMINBURGH TN  49c2,1224.64,Electronics
2025-07-01,PURCHASE AUTHORIZED HENDERSON-CRUZ 806 RI MILLERFURT OK  46D5,8.83,Coffee Shops
2024-09-24,PURCHASE AUTHORIZED GREGORY-KNIGHT 440 WI LAKE STEVEN ND  62A3,329.54,Other
2025-11-12,INV SULLIVAN GROUP 437 WY NEW MICHAELMOUTH IA  28E7,295.44,Utilities
2024-10-20,REF LYONS-FRANKLIN 382 TN JULIASHIRE IL  71K3,92.68,Restaurants
2025-01-17,TXN CLARK PLC 723 ME MARIAHBURGH NY  66S3,109.21,Restaurants
2025-07-21,POS HOUSTON INC 227 MI NEW DEAN GU  58U7,164.16,Other
2025-10-12,# CARTER-TRUJILLO 700 AZ PATRICIABURGH NV  39F3,97.52,Restaurants
2026-01-14,REF HENRY-NIELSEN 951 WV MILLERCHESTER VI  40O9,20.84,Groceries
2026-01-11,PURCHASE AUTHORIZED ZARA CATHERINEBOROUGH FM  59k5,492.95,Clothing
2025-11-14,REF WATSON LTD 264 NC WEST KRISTENTOWN TN  61M4,234.85,Other
2025-08-29,ONLINE PAYMENT MARTINEZ-GONZALEZ 367 OK REESEVIEW WV  49f2,67.29,Restaurants
2025-06-30,ONLINE PAYMENT DANIELS AND SONS 379 VT WEST JENNIFER NC  23g2,49.11,Public Transport
2025-05-07,"TXN CLAYTON, CHERRY AND REED 911 PW LAKE DAWNMOUTH MO  56z8",107.05,Restaurants
2025-12-07,PURCHASE AUTHORIZED MOORE-MALONE 624 PA SOUTH JASONSHIRE NC  88y3,154.71,Utilities
2025-10-06,"PURCHASE AUTHORIZED MOYER, WILLIAMS AND BENNETT 584 MO WEST CYNTHIABURGH OR  55O5",153.61,Other
2026-01-28,"DEBIT WASHINGTON, SHEPHERD AND BARRY 740 CT WEST BRANDY IA  19Y2",107.84,Clothing
2024-04-06,"INV VASQUEZ, WILLIAMS AND DIAZ 950 NH PERRYHAVEN PR  20W7",7.8,Streaming
2025-06-24,"TXN BARNES, WILLIAMS AND SANDERS 152 WV EAST JUAN IA  19T1",151.61,Utilities
2024-10-28,PURCHASE AUTHORIZED MITCHELL-BERG 346 OH WEST ANDREWVIEW CO  27v7,422.86,Airfare
2025-10-31,TXN HARDY LLC 148 CO EAST MALIK UT  73J1,398.37,Clothing
2025-08-05,# SILVA-MILLER 732 CA SOUTH GREGORYFORT MS  35y4,27.01,Public Transport
2024-11-07,"REF CARTER, GARRISON AND CHRISTENSEN 176 VI SOUTH ANDREASIDE ID  11u3",178.47,Other
2024-03-12,"DEBIT SHEA, JORDAN AND THOMPSON 062 WV SOUTH GEORGEFURT MI  33i4",3.25,Public Transport
2024-10-14,"REF HENRY, HERNANDEZ AND GARZA 331 ND ANGELAFORT NE  86G5",6.1,Coffee Shops
2024-06-20,INV RICHMOND LTD 218 UT HUMPHREYSTAD SC  38U9,86.1,Other
2025-08-01,DEBIT AMAZON PRIME WALTERLAND IA  98w4,13.86,Streaming
2025-01-16,"# FISCHER, ALLEN AND GRIFFIN 187 VA LAKE STACYBOROUGH IA  06U4",8.92,Streaming
2025-03-23,ONLINE PAYMENT FLOYD PLC 726 NE SOUTH AUSTINMOUTH HI  36E3,386.78,Other
2026-01-20,"INV GREEN, GROSS AND RICE 528 SD GONZALESHAVEN NV  77x4",480.66,Electronics
2024-10-24,"ONLINE PAYMENT COLLINS, GALLAGHER AND ROBINSON 546 MI PORT CHRISTOPHER CT  52L1",100.45,Utilities
2025-01-07,DEBIT GILBERT PLC 910 MN WEST DEANNAFURT AZ  41i6,357.29,Other
2024-11-21,POS THOMAS-CARDENAS 234 IL KRISTIPORT KS  99O2,157.06,Groceries
2024-04-28,DEBIT GOOGLE SERVICES LUISBURY NV  45U5,29.22,Other
2025-04-13,INV CANNON-WALSH 858 VI EAST JACOB PR  33T6,346.5,Other
2024-05-01,PURCHASE AUTHORIZED SPARKS-VILLANUEVA 889 AL ROGERSSHIRE GA  62g8,5.95,Streaming
2025-01-09,TXN SANCHEZ LTD 487 NE NORTH DOUGLASTON OR  02o4,62.13,Gas
2024-06-26,TXN HARDY-MELENDEZ 618 KS LAKE STEVEN ME  21b9,75.76,Utilities
2025-06-12,"DEBIT FOX, MCDANIEL AND RODRIGUEZ 233 MS SHANETOWN DE  53q1",164.87,Utilities
2024-04-06,# FLORES GROUP 151 UT DAWSONSIDE PW  28k1,80.38,Clothing
2025-11-01,PAYMENT H&M NEW JASON NH  27O9,452.13,Clothing
2025-05-25,INV WYATT GROUP 166 MP DAVIDMOUTH MO  44p3,94.49,Restaurants
2024-04-02,"INV CLAYTON, BURNS AND SNYDER 302 HI SHARONMOUTH WV  93J0",49.35,Groceries
2025-09-20,"# ZHANG, GLOVER AND BROOKS 275 VA LAKE STEPHENBOROUGH ND  99q2",10.08,Public Transport
2025-11-15,TXN THOMPSON PLC 680 AK PORT BRANDY SD  42r9,118.71,Other
2025-09-28,POS CARTER-DEAN 107 GU BEASLEYSTAD NM  42R4,76.6,Groceries
2025-07-14,PAYMENT CASTILLO-GRAHAM 582 PW EMILYLAND TN  94b7,83.88,Restaurants
2024-12-12,PURCHASE AUTHORIZED QUINN INC 072 VI CLARKHAVEN KY  99z7,607.92,Airfare
2025-07-07,"INV ROBLES, CARTER AND PETERSON 283 MN MARYMOUTH HI  88F1",1454.69,Electronics
2024-05-30,INV CLARK LLC 447 CO SOUTH JACQUELINE CT  05G4,136.32,Clothing
2026-01-21,"ONLINE PAYMENT MORGAN, STEWART AND DIAZ 762 MD NINASTAD CT  21P3",5.15,Coffee Shops
2024-09-03,DEBIT WOOD GROUP 180 NC PARRISHMOUTH VT  24T7,373.94,Other
2024-04-14,# YU AND SONS 774 CA TIFFANYBURGH FM  16z0,5.6,Other
2025-02-16,REF MARTINEZ-MCDONALD 112 VT SOUTH SHARON MO  70y2,346.28,Other
2025-06-11,"REF JOHNSON, FERRELL AND RUSSO 687 MI LAKE JACOBPORT WI  00I8",314.66,Other
2025-06-12,DEBIT HILL PLC 768 KS NEW KAREN NC  29L7,24.95,Public Transport
2024-07-02,"PAYMENT PITTMAN, CARR AND KIM 941 GU NORTH CHRISTINA VT  52U2",292.78,Utilities
2025-04-26,"ONLINE PAYMENT SCHNEIDER, DIXON AND JEFFERSON 379 FM JACKHAVEN FM  14v4",61.6,Groceries
2024-05-14,"REF BRYANT, BROOKS AND LITTLE 205 MS PORT RONALDLAND MH  56N7",94.65,Groceries
2025-10-28,"PAYMENT MITCHELL, BLACKBURN AND UNDERWOOD 800 HI EAST CARLABOROUGH AZ  14C5",143.44,Insurance
2025-02-16,PURCHASE AUTHORIZED BENNETT-MCKNIGHT 951 TN NEW PAUL AS  16q0,197.79,Clothing
2025-08-10,INV CLAYTON-JORDAN 821 OK REEDTON PW  32V8,66.03,Gas
2024-02-29,"DEBIT DILLON, WASHINGTON AND MITCHELL 436 UT WILCOXPORT OR  90t9",986.75,Electronics
2024-05-28,"PAYMENT FOSTER, THOMPSON AND ADAMS 889 CA NORTH RYAN DE  56e8",98.1,Utilities
2024-06-04,"# LEWIS, ANDRADE AND HARRIS 832 OR LAKE WILLIAM TN  59B2",125.67,Restaurants
2025-01-30,REF LUNA INC 230 WI HARVEYSTAD AS  52i8,271.0,Insurance
2025-12-23,"PAYMENT WILLIAMS, BRYANT AND FREEMAN 680 PA PORT GRACESHIRE WY  49t2",20.77,Restaurants
2024-12-03,"TXN TAPIA, SIMON AND MURPHY 590 OR LONGSHIRE MN  81z0",122.18,Restaurants
2025-07-01,"REF SLOAN, FLOYD AND HERNANDEZ 639 FL DANIELMOUTH AR  35j3",544.82,Airfare
2025-02-26,POS NORMAN-PRESTON 984 AS WEST KAREN OH  79d9,628.62,Airfare
2024-08-18,"INV SMITH, HEATH AND MURPHY 216 NE JEREMYBURGH WA  34a8",43.21,Gas
2024-05-22,"PURCHASE AUTHORIZED ANTHONY, LAMBERT AND MURILLO 690 KY BAILEYFURT KY  92d5",1944.56,Electronics
2025-07-27,"PURCHASE AUTHORIZED RICE, SMITH AND WALKER 476 IN WEST KATRINA OH  78S2",305.63,Insurance
2025-06-26,REF PHAM AND SONS 020 NH ARNOLDLAND PR  79E8,77.54,Utilities
2025-09-21,"ONLINE PAYMENT JOHNSON, HINES AND ROBINSON 060 GU CLARKTON PA  79N9",115.26,Clothing
2024-07-03,INV CRAIG-DANIELS 974 MN BRIANSIDE CA  83D7,254.82,Utilities
2024-04-26,"DEBIT SMITH, FLORES AND HUNTER 592 MH KIMBURGH SD  67N3",518.43,Airfare
2025-02-12,DEBIT RODRIGUEZ INC 761 TX WHITEBURY AK  87l8,294.56,Other
2025-06-06,PURCHASE AUTHORIZED SANDERS-ADAMS 243 NJ NORTH MICHEALCHESTER PR  31D2,170.7,Other
2024-08-28,"TXN BRUCE, POLLARD AND JOSEPH 645 ND AMANDATOWN MA  88k5",128.09,Other
2025-10-09,INV JONES-ANDERSON 086 MO DALTONFORT NM  18a3,33.73,Restaurants
2026-01-15,PAYMENT DAVIS-MCKINNEY 732 NH CHRISTINEMOUTH SC  43h8,419.99,Clothing
2024-12-02,PAYMENT MILLER-CARLSON 676 AK ANTHONYSHIRE AR  67n3,12.2,Coffee Shops
2024-10-07,TXN CASTILLO AND SONS 497 DE SOUTH ANN RI  38T1,248.61,Other
2024-12-03,"PAYMENT DALTON, COLON AND RODRIGUEZ 398 LA CHAVEZVILLE MP  08Z2",83.72,Utilities
2024-11-11,TXN KING GROUP 234 AS LAKE CYNTHIATON OK  84W5,197.67,Other
2024-03-27,TXN KFC NORTONBOROUGH TX  43z7,35.06,Restaurants
2025-08-12,TXN SHERMAN-DAVIS 968 OR NORTH JOHN AL  71R6,499.22,Airfare
2025-08-20,INV DRAKE-SCHMIDT 938 SD NORTH JEREMY NE  49H4,1016.4,Electronics
2024-08-12,"TXN JOHNSON, VASQUEZ AND BUSH 311 WY NEW SEANFURT MP  36R7",220.3,Utilities
2025-05-22,"# MOORE, CHOI AND SHEPHERD 144 TX RODGERSVILLE AL  14C2",2.24,Coffee Shops
2024-12-06,"INV MCCORMICK, BROWN AND BRYANT 037 DC CORTEZMOUTH NM  57t8",24.71,Gas
2024-04-12,PURCHASE AUTHORIZED COSTCO PORT KARENVILLE IA  27e2,33.43,Groceries
2024-08-11,INV MCCLURE LTD 228 SC REEDSIDE FM  43R9,107.33,Groceries
